,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn
count,7043.0,7043.0,7043.0,7043.0,7043.0
mean,-4.842545977067274e-17,-2.421272988533637e-17,-6.406284782161914e-17,-1.4880740242029644e-17,-7.66736446368985e-17
std,1.0000710000355897,1.0000710000355895,1.0000710000355895,1.0000710000355895,1.0000710000355895
min,-0.43991649313097614,-1.318164947398796,-1.5458598200734601,-0.9991202865028981,-0.6010234796064696
25%,-0.43991649313097614,-0.9516816739185228,-0.9725398550161476,-0.8298459149110684,-0.6010234796064696
50%,-0.43991649313097614,-0.13727439951791576,0.1857326540996401,-0.3904631977518628,-0.6010234796064696
75%,-0.43991649313097614,0.9214550572028734,0.8338334841644282,0.664287100296856,1.6638285090871447
max,2.273158691738958,1.6137012404433893,1.7943521502604476,2.8267431919212935,1.6638285090871447
